Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-07-09T12:19:55.874Z","","","Included","auto","No","0","38492","654633","8221","701346","Included"
"2026-07-09T12:08:53.780Z","","","Included","auto","No","0","39163","65962","1160","106285","Included"
"2026-07-09T12:03:19.568Z","","","Included","auto","No","0","22361","862336","15242","899939","Included"
"2026-07-09T12:02:17.315Z","","","Included","auto","No","0","23630","98304","1492","123426","Included"
"2026-07-09T12:02:05.200Z","","","Included","auto","No","0","151470","470016","1209","622695","Included"
"2026-07-09T10:21:22.908Z","","","Included","auto","No","0","35349","2093440","14299","2143088","Included"
"2026-07-09T10:21:08.560Z","","","Included","auto","No","0","932","305536","610","307078","Included"
"2026-07-09T10:18:09.651Z","","","Included","claude-opus-4-8-thinking-high","No","128315","2","0","806","129123","Included"
"2026-07-09T10:13:42.897Z","","","Included","auto","No","0","565","152064","60","152689","Included"
"2026-07-09T10:12:17.993Z","","","Included","auto","No","0","533","151680","64","152277","Included"
"2026-07-09T10:10:04.242Z","","","Included","auto","No","0","1097","150784","308","152189","Included"
"2026-07-09T10:03:44.331Z","","","Included","auto","No","0","38507","360960","2344","401811","Included"
"2026-07-09T10:03:25.703Z","","","Included","auto","No","0","147259","155648","601","303508","Included"
"2026-07-09T06:46:33.784Z","","","Included","claude-opus-4-8-thinking-high","No","447","2","81378","143","81970","Included"
"2026-07-09T06:45:57.144Z","","","Included","claude-opus-4-8-thinking-high","No","649","2","80729","193","81573","Included"
"2026-07-09T06:45:54.679Z","","","Included","auto","No","0","21758","68315","550","90623","Included"
"2026-07-09T06:45:29.624Z","","","Included","auto","No","0","151797","156733","514","309044","Included"
"2026-07-09T06:44:53.373Z","","","Included","claude-opus-4-8-thinking-high","No","80729","4","80423","622","161778","Included"
"2026-07-09T06:11:32.810Z","","","Included","auto","No","0","7696","353664","2925","364285","Included"
"2026-07-09T05:43:06.405Z","","","Included","claude-opus-4-8-thinking-high","No","127629","14","737286","7024","871953","Included"
"2026-07-09T05:31:51.621Z","","","Included","auto","No","0","30404","725399","5595","761398","Included"
"2026-07-09T05:26:13.298Z","","","Included","auto","No","0","38523","3309813","13323","3361659","Included"
"2026-07-09T05:22:19.288Z","","","Included","auto","No","0","27146","185137","4678","216961","Included"
"2026-07-09T05:22:09.033Z","","","Included","auto","No","0","7229","773016","3770","784015","Included"
"2026-07-09T05:19:21.403Z","","","Included","auto","No","0","17074","53343","801","71218","Included"
"2026-07-09T05:18:50.002Z","","","Included","auto","No","0","3903","414799","1513","420215","Included"
"2026-07-09T05:16:20.770Z","","","Included","auto","No","0","18978","78401","947","98326","Included"
"2026-07-09T05:16:05.429Z","","","Included","auto","No","0","99868","103970","741","204579","Included"
"2026-07-09T05:04:15.513Z","","","Included","claude-opus-4-8-thinking-high","No","116067","2","0","1600","117669","Included"
"2026-07-09T05:00:09.606Z","","","Included","auto","No","0","32860","19098","548","52506","Included"
"2026-07-09T04:59:58.338Z","","","Included","auto","No","0","423","100430","257","101110","Included"
"2026-07-09T04:58:18.664Z","","","Included","auto","No","0","17184","90946","1144","109274","Included"
"2026-07-09T04:56:09.990Z","","","Included","auto","No","0","15800","655018","5326","676144","Included"
"2026-07-09T04:51:54.443Z","","","Included","auto","No","0","18297","36666","1363","56326","Included"
"2026-07-09T04:51:45.595Z","","","Included","auto","No","0","81856","86403","527","168786","Included"
"2026-07-09T04:31:51.827Z","","","Included","auto","No","0","15937","17945","448","34330","Included"
"2026-07-09T04:31:24.768Z","","","Included","auto","No","0","15355","35416","319","51090","Included"
"2026-07-09T04:31:05.124Z","","","Included","auto","No","0","30630","413165","2643","446438","Included"
"2026-07-09T04:30:54.612Z","","","Included","auto","No","0","2001","493210","1216","496427","Included"
"2026-07-09T04:26:54.550Z","","","Included","auto","No","0","17031","108565","1219","126815","Included"
"2026-07-09T04:24:48.418Z","","","Included","auto","No","0","16380","35047","613","52040","Included"
"2026-07-09T04:24:34.522Z","","","Included","auto","No","0","9961","848938","3778","862677","Included"
"2026-07-09T04:22:28.715Z","","","Included","auto","No","0","197","71077","1184","72458","Included"
"2026-07-09T04:19:07.449Z","","","Included","claude-opus-4-8-thinking-high","No","17501","14","753663","2555","773733","Included"
"2026-07-09T04:18:32.994Z","","","Included","auto","No","0","18367","55862","985","75214","Included"
"2026-07-09T04:18:17.319Z","","","Included","auto","No","0","68296","73059","379","141734","Included"
"2026-07-09T04:13:56.419Z","","","Included","claude-opus-4-8-thinking-high","No","15912","8","345146","2884","363950","Included"
"2026-07-09T04:13:25.493Z","","","Included","claude-opus-4-8-thinking-high","No","1242","2","80893","469","82606","Included"
"2026-07-09T04:09:14.813Z","","","Included","claude-opus-4-8-thinking-high","No","957","2","79936","690","81585","Included"
"2026-07-09T04:07:45.461Z","","","Included","claude-opus-4-8-thinking-high","No","79936","4","78583","1643","160166","Included"
"2026-07-09T04:01:24.005Z","","","Included","grok-4.5-fast-high","No","0","1086","90112","461","91659","Included"
"2026-07-09T03:57:12.999Z","","","Included","grok-4.5-fast-high","No","0","4217","212608","3912","220737","Included"
"2026-07-09T03:54:38.623Z","","","Included","grok-4.5-fast-high","No","0","4099","154112","3221","161432","Included"
"2026-07-09T03:53:53.478Z","","","Included","grok-4.5-fast-high","No","0","1410","107136","1632","110178","Included"
"2026-07-09T03:53:30.061Z","","","Included","grok-4.5-fast-high","No","0","442","35072","183","35697","Included"
"2026-07-09T03:53:14.104Z","","","Included","grok-4.5-fast-high","No","0","272","34816","377","35465","Included"
"2026-07-09T03:52:36.043Z","","","Included","grok-4.5-fast-high","No","0","442","34432","565","35439","Included"
"2026-07-09T03:51:48.422Z","","","Included","grok-4.5-fast-high","No","0","428","34048","408","34884","Included"
"2026-07-09T03:50:13.698Z","","","Included","grok-4.5-fast-high","No","0","684","33408","391","34483","Included"
"2026-07-09T03:49:52.118Z","","","Included","auto","No","0","19054","96806","1129","116989","Included"
"2026-07-09T03:49:02.490Z","","","Included","grok-4.5-fast-high","No","0","31292","59392","2580","93264","Included"
"2026-07-09T03:47:48.894Z","","","Included","composer-2.5","No","0","86215","887275","8249","981739","Included"
"2026-07-09T03:47:30.734Z","","","Included","grok-4.5-high","No","0","213155","120320","1470","334945","Included"
"2026-07-09T03:47:09.039Z","","","Included","auto","No","0","30272","242142","3147","275561","Included"
"2026-07-09T03:46:59.506Z","","","Included","auto","No","0","4996","268138","1599","274733","Included"
"2026-07-09T03:45:37.560Z","","","Included","auto","No","0","16435","391879","3344","411658","Included"
"2026-07-09T03:40:54.363Z","","","Included","auto","No","0","20678","156625","3011","180314","Included"
"2026-07-09T03:40:13.307Z","","","Included","auto","No","0","41820","142054","2088","185962","Included"
"2026-07-09T03:38:05.914Z","","","Included","auto","No","0","16874","54949","1002","72825","Included"
"2026-07-09T03:35:34.582Z","","","Included","auto","No","0","10693","255083","1710","267486","Included"
"2026-07-09T03:34:02.219Z","","","Included","auto","No","0","17851","53924","1655","73430","Included"
"2026-07-09T03:30:15.592Z","","","Included","auto","No","0","100502","2024170","10570","2135242","Included"
"2026-07-09T03:26:41.128Z","","","Included","auto","No","0","5172","497592","4037","506801","Included"
"2026-07-09T03:25:34.950Z","","","Included","auto","No","0","3876","160741","870","165487","Included"
"2026-07-09T03:21:34.806Z","","","Included","auto","No","0","6391","628854","4317","639562","Included"
"2026-07-09T03:18:25.899Z","","","Included","auto","No","0","5286","602847","2746","610879","Included"
"2026-07-09T03:13:53.418Z","","","Included","auto","No","0","19062","77194","823","97079","Included"
"2026-07-09T03:13:41.749Z","","","Included","auto","No","0","1297","296125","433","297855","Included"
"2026-07-09T03:01:17.935Z","","","Included","auto","No","0","24233","227038","2382","253653","Included"
"2026-07-09T02:59:01.568Z","","","Included","auto","No","0","17123","35739","1371","54233","Included"
"2026-07-09T02:58:44.847Z","","","Included","auto","No","0","141090","574339","6644","722073","Included"
"2026-07-09T02:46:14.016Z","","","Included","auto","No","0","21738","180152","3431","205321","Included"
"2026-07-09T02:45:41.641Z","","","Included","auto","No","0","3051","270434","1781","275266","Included"
"2026-07-09T02:37:59.715Z","","","Included","auto","No","0","18313","90558","927","109798","Included"
"2026-07-09T02:36:45.173Z","","","Included","auto","No","0","17054","109079","1186","127319","Included"
"2026-07-09T02:35:30.739Z","","","Included","auto","No","0","11058","1037848","3903","1052809","Included"
"2026-07-09T02:35:19.774Z","","","Included","grok-4.5-high","No","0","61478","221184","2387","285049","Included"
"2026-07-09T02:35:00.833Z","","","Included","grok-4.5-high","No","0","25253","1107840","3341","1136434","Included"
"2026-07-09T02:33:32.347Z","","","Included","auto","No","0","10332","829922","3085","843339","Included"
"2026-07-09T02:32:22.660Z","","","Included","grok-4.5-high","No","0","2241","236800","1433","240474","Included"
"2026-07-09T02:31:47.540Z","","","Included","grok-4.5-high","No","0","736","77696","590","79022","Included"
"2026-07-09T02:26:15.520Z","","","Included","auto","No","0","20409","39255","562","60226","Included"
"2026-07-09T02:25:42.495Z","","","Included","auto","No","0","16742","52924","673","70339","Included"
"2026-07-09T02:24:39.263Z","","","Included","grok-4.5-high","No","0","1055","81024","122","82201","Included"
"2026-07-09T02:24:12.667Z","","","Included","grok-4.5-high","No","0","78292","723072","11271","812635","Included"
"2026-07-09T02:21:51.773Z","","","Included","grok-4.5-high","No","0","1758","97280","239","99277","Included"
"2026-07-09T02:21:37.778Z","","","Included","auto","No","0","17645","107564","991","126200","Included"
"2026-07-09T02:21:00.985Z","","","Included","auto","No","0","17100","71338","941","89379","Included"
"2026-07-09T02:20:05.389Z","","","Included","grok-4.5-high","No","0","42926","192000","2611","237537","Included"
"2026-07-09T02:17:44.834Z","","","Included","auto","No","0","13180","39674","865","53719","Included"
"2026-07-09T02:17:32.299Z","","","Included","auto","No","0","9028","1199714","4110","1212852","Included"
"2026-07-09T02:16:33.181Z","","","Included","grok-4.5-high","No","0","18979","1736192","15425","1770596","Included"
"2026-07-09T02:15:40.252Z","","","Included","grok-4.5-high","No","0","658","64000","95","64753","Included"
"2026-07-09T02:15:13.504Z","","","Included","auto","No","0","13113","81213","1848","96174","Included"
"2026-07-09T02:13:25.554Z","","","Included","auto","No","0","11253","38019","847","50119","Included"
"2026-07-09T02:12:29.805Z","","","Included","auto","No","0","12856","38759","1950","53565","Included"
"2026-07-09T02:11:34.995Z","","","Included","auto","No","0","13850","27515","1266","42631","Included"
"2026-07-09T02:11:23.660Z","","","Included","auto","No","0","101627","1463566","6271","1571464","Included"
"2026-07-09T02:10:54.840Z","","","Included","grok-4.5-high","No","0","8187","704896","1615","714698","Included"
"2026-07-09T02:08:39.681Z","","","Included","grok-4.5-high","No","0","11347","461824","4165","477336","Included"
"2026-07-09T02:06:04.760Z","","","Included","grok-4.5-fast-high","No","0","622","40320","282","41224","Included"
"2026-07-09T02:04:53.983Z","","","Included","grok-4.5-high","No","0","6130","515328","3231","524689","Included"
"2026-07-09T02:04:42.931Z","","","Included","grok-4.5-high","No","0","33181","6144","921","40246","Included"
"2026-07-09T02:03:49.203Z","","","Included","grok-4.5-fast-high","No","0","239","40192","288","40719","Included"
"2026-07-09T02:03:32.561Z","","","Included","grok-4.5-high","No","0","32941","77696","2561","113198","Included"
"2026-07-09T02:03:22.144Z","","","Included","grok-4.5-fast-high","No","0","2632","39424","748","42804","Included"
"2026-07-09T02:02:38.953Z","","","Included","grok-4.5-high","No","0","45229","118528","2619","166376","Included"
"2026-07-09T02:01:29.784Z","","","Included","grok-4.5-fast-high","No","0","35549","95744","1668","132961","Included"
"2026-07-09T01:58:58.721Z","","","Included","auto","No","0","13771","85487","1619","100877","Included"
"2026-07-09T01:57:03.334Z","","","Included","auto","No","0","27811","125636","2117","155564","Included"
"2026-07-09T01:56:43.128Z","","","Included","auto","No","0","6679","560713","1977","569369","Included"
"2026-07-09T01:48:19.943Z","","","Included","auto","No","0","23747","40488","792","65027","Included"
"2026-07-09T01:47:29.354Z","","","Included","auto","No","0","11836","77640","1176","90652","Included"
"2026-07-09T01:46:22.867Z","","","Included","auto","No","0","11805","49817","961","62583","Included"
"2026-07-09T01:45:46.955Z","","","Included","auto","No","0","16244","52035","525","68804","Included"
"2026-07-09T01:45:03.560Z","","","Included","auto","No","0","16783","35486","1017","53286","Included"
"2026-07-09T01:43:49.490Z","","","Included","auto","No","0","29811","109136","1988","140935","Included"
"2026-07-09T01:43:45.629Z","","","Included","auto","No","0","17689","36557","1626","55872","Included"
"2026-07-09T01:43:34.764Z","","","Included","auto","No","0","74347","437538","2767","514652","Included"
"2026-07-09T01:32:01.487Z","","","Included","auto","No","0","13333","69841","1104","84278","Included"
"2026-07-09T01:29:54.889Z","","","Included","auto","No","0","17027","149964","2435","169426","Included"
"2026-07-09T01:29:05.904Z","","","Included","auto","No","0","17042","46110","1237","64389","Included"
"2026-07-09T01:28:54.348Z","","","Included","auto","No","0","65033","264860","1772","331665","Included"
"2026-07-09T01:03:03.117Z","","","Included","auto","No","0","13018","24608","512","38138","Included"
"2026-07-09T01:01:54.587Z","","","Included","auto","No","0","13041","81568","1450","96059","Included"
"2026-07-09T00:58:48.910Z","","","Included","auto","No","0","32940","50016","1285","84241","Included"
"2026-07-09T00:55:37.108Z","","","Included","auto","No","0","45914","648480","8111","702505","Included"
"2026-07-09T00:53:02.980Z","","","Included","auto","No","0","17578","53546","1490","72614","Included"
"2026-07-09T00:52:44.646Z","","","Included","auto","No","0","220751","981374","9149","1211274","Included"
"2026-07-09T00:43:02.857Z","","","Included","auto","No","0","31530","34976","713","67219","Included"
"2026-07-09T00:42:23.402Z","","","Included","auto","No","0","51096","40384","2246","93726","Included"
"2026-07-09T00:42:14.982Z","","","Included","auto","No","0","1707","536096","858","538661","Included"
"2026-07-09T00:34:32.941Z","","","Included","auto","No","0","13644","104661","1648","119953","Included"
"2026-07-09T00:28:18.046Z","","","Included","auto","No","0","80454","48544","1906","130904","Included"
"2026-07-09T00:28:09.056Z","","","Included","auto","No","0","2086","528864","1051","532001","Included"
"2026-07-09T00:22:39.429Z","","","Included","auto","No","0","14356","123161","1914","139431","Included"
"2026-07-09T00:21:15.580Z","","","Included","auto","No","0","15909","76238","1999","94146","Included"
"2026-07-09T00:21:06.474Z","","","Included","auto","No","0","6350","1711520","5602","1723472","Included"
"2026-07-09T00:20:04.538Z","","","Included","auto","No","0","1306","817504","2202","821012","Included"
"2026-07-09T00:18:51.667Z","","","Included","auto","No","0","1587","483168","1034","485789","Included"
"2026-07-09T00:05:45.175Z","","","Included","auto","No","0","31538","166927","4485","202950","Included"
"2026-07-08T23:55:13.808Z","","","Included","auto","No","0","86062","115616","3173","204851","Included"
"2026-07-08T23:54:13.167Z","","","Included","auto","No","0","16149","1971616","6624","1994389","Included"
"2026-07-08T23:49:35.378Z","","","Included","auto","No","0","12251","51914","1416","65581","Included"
"2026-07-08T23:42:49.308Z","","","Included","auto","No","0","17852","230010","4146","252008","Included"
"2026-07-08T23:42:30.142Z","","","Included","auto","No","0","4668","678496","2585","685749","Included"
"2026-07-08T23:22:12.146Z","","","Included","auto","No","0","32185","19360","1235","52780","Included"
"2026-07-08T23:22:02.146Z","","","Included","auto","No","0","1165","263072","1309","265546","Included"
"2026-07-08T23:18:04.300Z","","","Included","auto","No","0","476","130880","110","131466","Included"
"2026-07-08T23:16:50.585Z","","","Included","auto","No","0","22499","58130","1607","82236","Included"
"2026-07-08T23:16:35.387Z","","","Included","auto","No","0","124333","136000","835","261168","Included"
"2026-07-08T22:54:47.225Z","","","Included","auto","No","0","93524","2095136","21131","2209791","Included"
"2026-07-08T22:51:18.231Z","","","Included","auto","No","0","41644","37248","1885","80777","Included"
"2026-07-08T22:51:05.724Z","","","Included","auto","No","0","121927","1107296","6503","1235726","Included"
"2026-07-08T22:49:07.551Z","","","Included","grok-4.5-fast-high","No","0","37082","353152","2882","393116","Included"
"2026-07-08T22:48:18.920Z","","","Included","grok-4.5-fast-high","No","0","33981","77632","1946","113559","Included"
"2026-07-08T22:44:50.645Z","","","Included","auto","No","0","18615","58292","1549","78456","Included"
"2026-07-08T22:31:06.448Z","","","Included","auto","No","0","19443","283771","4004","307218","Included"
"2026-07-08T22:19:08.434Z","","","Included","auto","No","0","15783","158776","2518","177077","Included"
"2026-07-08T22:14:38.179Z","","","Included","auto","No","0","31656","83136","2160","116952","Included"
"2026-07-08T22:14:24.264Z","","","Included","auto","No","0","148040","1828079","11528","1987647","Included"
"2026-07-08T22:10:46.278Z","","","Included","auto","No","0","25180","53088","874","79142","Included"
"2026-07-08T22:08:35.403Z","","","Included","auto","No","0","29884","139616","2307","171807","Included"
"2026-07-08T22:07:33.419Z","","","Included","auto","No","0","913","36480","926","38319","Included"
"2026-07-08T22:07:24.794Z","","","Included","auto","No","0","8204","584315","3638","596157","Included"
"2026-07-08T22:05:50.794Z","","","Included","auto","No","0","11980","38712","683","51375","Included"
"2026-07-08T22:05:38.998Z","","","Included","auto","No","0","1671","185122","508","187301","Included"
"2026-07-08T22:03:44.257Z","","","Included","auto","No","0","11095","26383","748","38226","Included"
